year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id,country_of_production_trase_id,country_of_destination_trase_id
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""0"",""NONE"",""CAAGUAZU"",""MARIANO ROQUE ALONSO"",""MERCANTIL COMERCIAL (MERCO)"",""LOUIS DREYFUS"",""POLAND"",""EUROPEAN UNION"",""26239.13"",""12162907.024108911"",""9239.148578129834"",""232.21630050000002"",""PY-05"",""PY"",""PL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""AMAMBAY"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""JAPAN"",""JAPAN"",""25977.93"",""14078912.665045312"",""9115.063157894738"",""524.7541860000001"",""PY-13"",""PY"",""JP"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",,""UNKNOWN"",""ITAPUA"",""BELLA VISTA"",""OLEAGINOSA RAATZ"",""OLEAGINOSA RAATZ"",""URUGUAY"",""URUGUAY"",""25769"",""11778249"",""9236.195461306392"",""32.21125"",""PY-07"",""PY"",""UY"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""NONE"",""ITAPUA"",""SAN JUAN DEL PARANA"",""CHS DE PARAGUAY SOCIEDAD DE RESPONSABILIDAD LIMITADA"",""CHS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""25295.41"",""12064171.226057788"",""9066.450038180927"",""31.6192625"",""PY-07"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN OIL"",""3"",""NONE"",""SAN PEDRO"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""INDIA"",""INDIA"",""25181.08"",""20210539.314500976"",""9992.516197905976"",""1309.41616"",""PY-02"",""PY"",""IN"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""0"",""NONE"",""SAN PEDRO"",""ANTEQUERA"",""COFCO AGRI PARAGUAY S.A."",""COFCO"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""25148.16"",""12319881.883117614"",""9979.45267429082"",""1307.7043199999998"",""PY-02"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""COMPANY COMMITMENT"",""CAAGUAZU"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""POLAND"",""EUROPEAN UNION"",""25109.52"",""12658166.154843016"",""8841.397790457331"",""222.219252"",""PY-05"",""PY"",""PL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""ASUNCION"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""PERU"",""PERU"",""25032.059999999998"",""13054406.45082844"",""8400.020134228187"",""58.825340999999995"",""PY-10"",""PY"",""PE"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""NONE"",""ALTO PARANA"",""VILLETA"",""COMPANIA PARAGUAYA DE GRANOS"",""COMPANIA PARAGUAYA DE GRANOS"",""ROMANIA"",""EUROPEAN UNION"",""24915.92"",""12433043.535901854"",""8361.046979865772"",""58.552412"",""PY-10"",""PY"",""RO"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ITAPUA"",""ENCARNACION"",""COOPERATIVA COLONIAS UNIDAS"",""COOPERATIVA COLONIAS UNIDAS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""24840.26"",""11623332.59985628"",""8903.313930291073"",""31.050324999999997"",""PY-07"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""CAAZAPA"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""JAPAN"",""JAPAN"",""24753.64"",""13415399.312948776"",""9168.014814814815"",""238.872626"",""PY-06"",""PY"",""JP"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""0"",""NONE"",""ALTO PARANA"",""ÑACUNDAY"",""COFCO AGRI PARAGUAY S.A."",""COFCO"",""TURKEY"",""TURKEY"",""24555.58"",""13347298.160000002"",""8240.127516778524"",""57.70561300000001"",""PY-10"",""PY"",""TR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ALTO PARANA"",""MBARACAYU"",""INVERSIONES AGRICOLA"",""INVERSIONES AGRICOLA"",""BRAZIL"",""BRAZIL"",""24500"",""10345000"",""8221.476510067114"",""57.575"",""PY-10"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN OIL"",""3"",""NONE"",""AMAMBAY"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""INDIA"",""INDIA"",""24067.46"",""19316739.22905512"",""8444.722807017544"",""486.16269200000005"",""PY-13"",""PY"",""IN"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""CAAGUAZU"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""JAPAN"",""JAPAN"",""23290.910000000003"",""12622665.38603691"",""8201.040888545085"",""206.12455350000005"",""PY-05"",""PY"",""JP"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ALTO PARANA"",""CIUDAD DEL ESTE"",""LAR SRL"",""LAR"",""BRAZIL"",""BRAZIL"",""23229.43"",""10056517.810549019"",""7795.1107382550335"",""54.589160500000006"",""PY-10"",""PY"",""BR"""
